aptnm(아파트 이름),yyyyqrt(거래년도 분기별),price(가격),con_year(건축년도),dong(동),area(면적),floor(층수),Latitude(위도),Longtitude(경도),gdp,e_grwth(경제성장률),Seoul_l.rate(지가상승률),house_rate(담보대출금리),dis_park(국립 공원과의 거리),dis_highschool(고등학교와의 거리),dis_reconst(재개발 지역과의 거리),dis_univ(대학과의 거리),dis_hospital(종합 병원과의 거리),dis_museum(국립 박물관과의 거리),dis_subway(지하철역과의 거리),brand_r(유명 아파트 브랜드순),n_home(세대수),n_dong(동수),parking_per(세대별 주차장수),Heater(난방 시스템),Yongpae(용적률),Gunpae(건폐율),Highest(최고층),Lowest(최저층)
강남역우정에쉐르,2006Q1,9000,2004,역삼동,17.23,7,37.4942041,127.0435446,225613,6.3,0.152880864,5.559494632,452.7178432,794.5448489,231.8454318,2395.028241,291.1468097,1694.41981,849.3536529,0,52,1,0.75,개별난방,536,58,13,12
강남역우정에쉐르,2006Q1,9000,2004,역삼동,17.23,7,37.4942041,127.0435446,225613,6.3,0.152880864,5.559494632,452.7178432,794.5448489,231.8454318,2395.028241,291.1468097,1694.41981,849.3536529,0,52,1,0.75,개별난방,536,58,13,12
개포주공1단지,2006Q1,73000,1982,개포동,50.38,3,37.4784072,127.061375,225613,6.3,0.152880864,5.559494632,1053.207856,762.5618342,571.5829294,4151.796698,2081.070695,1005.793754,1486.178329,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,70000,1982,개포동,50.64,5,37.4846093,127.0672747,225613,6.3,0.152880864,5.559494632,1329.369662,277.1834755,0,4499.155637,1733.995826,277.1834755,1160.598717,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,40000,1982,개포동,35.44,4,37.4824454,127.0512778,225613,6.3,0.152880864,5.559494632,1034.986868,673.1399658,285.0344148,3165.771715,1231.289066,1361.892898,650.3255553,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,56000,1982,개포동,42.55,5,37.4784072,127.061375,225613,6.3,0.152880864,5.559494632,1053.207856,762.5618342,571.5829294,4151.796698,2081.070695,1005.793754,1486.178329,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,40500,1982,개포동,35.87,4,37.4945807,127.0752747,225613,6.3,0.152880864,5.559494632,1661.337914,524.8449331,704.6621659,4629.074143,1242.617773,1132.553129,316.9028005,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,53000,1982,개포동,42.55,4,37.4784072,127.061375,225613,6.3,0.152880864,5.559494632,1053.207856,762.5618342,571.5829294,4151.796698,2081.070695,1005.793754,1486.178329,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,56000,1982,개포동,41.98,2,37.48761,127.0715168,225613,6.3,0.152880864,5.559494632,1217.293231,522.121849,254.2961444,4837.525209,1459.461217,522.121849,899.6163703,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,77500,1982,개포동,50.38,3,37.4824454,127.0512778,225613,6.3,0.152880864,5.559494632,1034.986868,673.1399658,285.0344148,3165.771715,1231.289066,1361.892898,650.3255553,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,78500,1982,개포동,50.64,1,37.4784072,127.061375,225613,6.3,0.152880864,5.559494632,1053.207856,762.5618342,571.5829294,4151.796698,2081.070695,1005.793754,1486.178329,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,55000,1982,개포동,41.98,1,37.4784072,127.061375,225613,6.3,0.152880864,5.559494632,1053.207856,762.5618342,571.5829294,4151.796698,2081.070695,1005.793754,1486.178329,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,58500,1982,개포동,42.55,2,37.4945807,127.0752747,225613,6.3,0.152880864,5.559494632,1661.337914,524.8449331,704.6621659,4629.074143,1242.617773,1132.553129,316.9028005,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,54000,1982,개포동,41.98,1,37.48761,127.0715168,225613,6.3,0.152880864,5.559494632,1217.293231,522.121849,254.2961444,4837.525209,1459.461217,522.121849,899.6163703,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,70900,1982,개포동,50.38,1,37.48761,127.0715168,225613,6.3,0.152880864,5.559494632,1217.293231,522.121849,254.2961444,4837.525209,1459.461217,522.121849,899.6163703,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,94000,1982,개포동,58.08,4,37.4824454,127.0512778,225613,6.3,0.152880864,5.559494632,1034.986868,673.1399658,285.0344148,3165.771715,1231.289066,1361.892898,650.3255553,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,74000,1982,개포동,50.64,1,37.4846093,127.0672747,225613,6.3,0.152880864,5.559494632,1329.369662,277.1834755,0,4499.155637,1733.995826,277.1834755,1160.598717,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,54000,1982,개포동,42.55,2,37.484335,127.0713809,225613,6.3,0.152880864,5.559494632,994.3549868,569.8290892,0,4862.559541,1567.695451,569.8290892,1155.513971,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,99500,1982,개포동,53.63,1,37.4945807,127.0752747,225613,6.3,0.152880864,5.559494632,1661.337914,524.8449331,704.6621659,4629.074143,1242.617773,1132.553129,316.9028005,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,71800,1982,개포동,50.64,4,37.4945807,127.0752747,225613,6.3,0.152880864,5.559494632,1661.337914,524.8449331,704.6621659,4629.074143,1242.617773,1132.553129,316.9028005,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,69500,1982,개포동,49.56,5,37.4838941,127.0559898,225613,6.3,0.152880864,5.559494632,1202.94617,319.319054,187.1043708,3530.867668,1307.505896,915.5318705,778.0227937,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,114000,1982,개포동,56.57,2,37.4784072,127.061375,225613,6.3,0.152880864,5.559494632,1053.207856,762.5618342,571.5829294,4151.796698,2081.070695,1005.793754,1486.178329,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,55500,1982,개포동,41.98,3,37.4880007,127.0607254,225613,6.3,0.152880864,5.559494632,1409.708896,351.3483366,690.7997092,3883.528572,1156.356131,460.6884295,574.0730968,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,71800,1982,개포동,50.64,4,37.4945807,127.0752747,225613,6.3,0.152880864,5.559494632,1661.337914,524.8449331,704.6621659,4629.074143,1242.617773,1132.553129,316.9028005,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,73500,1982,개포동,50.64,3,37.4784072,127.061375,225613,6.3,0.152880864,5.559494632,1053.207856,762.5618342,571.5829294,4151.796698,2081.070695,1005.793754,1486.178329,0,5040,124,0.49,개별난방,72,15,5,5
개포주공1단지,2006Q1,68000,1982,개포동,50.38,3,37.48761,127.0715168,225613,6.3,0.152880864,5.559494632,1217.293231,522.121849,254.2961444,4837.525209,1459.461217,522.121849,899.6163703,0,5040,124,0.49,개별난방,72,15,5,5
